 0.4957932E-03 at R=8Mpc/h  0.1995316E-05 at Rsmooth=   130.    
 #   k/h   P(k)
   0.269032E+01   0.418766E-02
   0.274466E+01   0.398368E-02
   0.280011E+01   0.378945E-02
   0.285668E+01   0.360449E-02
   0.291439E+01   0.342839E-02
   0.297326E+01   0.326073E-02
   0.303332E+01   0.310111E-02
   0.309460E+01   0.294916E-02
   0.315712E+01   0.280451E-02
   0.322090E+01   0.266682E-02
   0.328596E+01   0.253577E-02
   0.335234E+01   0.241104E-02
   0.342006E+01   0.229234E-02
   0.348916E+01   0.217938E-02
   0.355964E+01   0.207188E-02
   0.363155E+01   0.196960E-02
   0.370491E+01   0.187228E-02
   0.377976E+01   0.177969E-02
   0.385611E+01   0.169159E-02
   0.393401E+01   0.160779E-02
   0.401348E+01   0.152807E-02
   0.409456E+01   0.145223E-02
   0.417727E+01   0.138010E-02
   0.426166E+01   0.131150E-02
   0.434775E+01   0.124624E-02
   0.443558E+01   0.118419E-02
   0.452519E+01   0.112517E-02
   0.461660E+01   0.106905E-02
   0.470987E+01   0.101569E-02
   0.480501E+01   0.964951E-03
   0.490208E+01   0.916708E-03
   0.500111E+01   0.870840E-03
   0.510214E+01   0.827234E-03
   0.520521E+01   0.785779E-03
   0.531036E+01   0.746372E-03
   0.541763E+01   0.708912E-03
   0.552708E+01   0.673306E-03
   0.563873E+01   0.639463E-03
   0.575264E+01   0.607298E-03
   0.586885E+01   0.576727E-03
   0.598741E+01   0.547674E-03
   0.610836E+01   0.520065E-03
   0.623176E+01   0.493829E-03
   0.635765E+01   0.468898E-03
   0.648609E+01   0.445210E-03
   0.661711E+01   0.422702E-03
   0.675079E+01   0.401317E-03
   0.688716E+01   0.381001E-03
   0.702629E+01   0.361699E-03
   0.716823E+01   0.343363E-03
   0.731304E+01   0.325945E-03
   0.746077E+01   0.309400E-03
   0.761149E+01   0.293684E-03
   0.776525E+01   0.278756E-03
   0.792212E+01   0.264578E-03
   0.808217E+01   0.251113E-03
   0.824543E+01   0.238324E-03
   0.841200E+01   0.226179E-03
   0.858193E+01   0.214646E-03
   0.875530E+01   0.203694E-03
   0.893217E+01   0.193294E-03
   0.911261E+01   0.183419E-03
   0.929670E+01   0.174043E-03
   0.948451E+01   0.165141E-03
   0.967610E+01   0.156689E-03
   0.987158E+01   0.148665E-03
   0.100710E+02   0.141047E-03
   0.102744E+02   0.133815E-03
   0.104820E+02   0.126951E-03
   0.106938E+02   0.120434E-03
   0.109098E+02   0.114248E-03
   0.111302E+02   0.108377E-03
   0.113550E+02   0.102804E-03
   0.115844E+02   0.975152E-04
   0.118184E+02   0.924954E-04
   0.120572E+02   0.877313E-04
   0.123007E+02   0.832101E-04
   0.125492E+02   0.789195E-04
   0.128027E+02   0.748479E-04
   0.130614E+02   0.709844E-04
   0.133252E+02   0.673182E-04
   0.135944E+02   0.638396E-04
   0.138691E+02   0.605390E-04
   0.141492E+02   0.574074E-04
   0.144351E+02   0.544362E-04
   0.147267E+02   0.516173E-04
   0.150242E+02   0.489431E-04
   0.153277E+02   0.464061E-04
   0.156373E+02   0.439993E-04
   0.159532E+02   0.417162E-04
   0.162755E+02   0.395505E-04
   0.166043E+02   0.374963E-04
   0.169397E+02   0.355477E-04
   0.172819E+02   0.336995E-04
   0.176310E+02   0.319465E-04
   0.179872E+02   0.302839E-04
   0.183505E+02   0.287071E-04
   0.187212E+02   0.272116E-04
   0.190994E+02   0.257934E-04
   0.194853E+02   0.244484E-04
   0.198789E+02   0.231730E-04
   0.202805E+02   0.219636E-04
   0.206902E+02   0.208167E-04
   0.211081E+02   0.197292E-04
   0.215346E+02   0.186981E-04
   0.219696E+02   0.177204E-04
   0.224134E+02   0.167933E-04
   0.228662E+02   0.159144E-04
   0.233281E+02   0.150811E-04
   0.237994E+02   0.142911E-04
   0.242802E+02   0.135422E-04
   0.247707E+02   0.128321E-04
   0.252710E+02   0.121590E-04
   0.257816E+02   0.115209E-04
   0.263024E+02   0.109161E-04
   0.268337E+02   0.103427E-04
   0.273758E+02   0.979926E-05
   0.279288E+02   0.928411E-05
   0.284930E+02   0.879584E-05
   0.290686E+02   0.833305E-05
   0.296558E+02   0.789442E-05
   0.302549E+02   0.747870E-05
   0.308661E+02   0.708470E-05
   0.314897E+02   0.671130E-05
   0.321258E+02   0.635744E-05
   0.327748E+02   0.602209E-05
   0.334369E+02   0.570429E-05
   0.341123E+02   0.540314E-05
   0.348014E+02   0.511777E-05
   0.355045E+02   0.484736E-05
   0.362217E+02   0.459113E-05
   0.369535E+02   0.434834E-05
   0.377000E+02   0.411829E-05
   0.384616E+02   0.390033E-05
   0.392386E+02   0.369382E-05
   0.400312E+02   0.349815E-05
   0.408399E+02   0.331278E-05
   0.416649E+02   0.313716E-05
   0.425066E+02   0.297078E-05
   0.433653E+02   0.281316E-05
   0.442413E+02   0.266384E-05
