#           k/h    P           
   0.407344E+03   0.208859E-05
   0.415573E+03   0.196987E-05
   0.423968E+03   0.185778E-05
   0.432533E+03   0.175196E-05
   0.441271E+03   0.165208E-05
   0.450185E+03   0.155782E-05
   0.459279E+03   0.146888E-05
   0.468558E+03   0.138496E-05
   0.478023E+03   0.130581E-05
   0.487680E+03   0.123115E-05
   0.497532E+03   0.116074E-05
   0.507582E+03   0.109435E-05
   0.517837E+03   0.103176E-05
   0.528297E+03   0.972749E-06
   0.538970E+03   0.917131E-06
   0.549857E+03   0.864716E-06
   0.560966E+03   0.815326E-06
   0.572298E+03   0.768790E-06
   0.583859E+03   0.724949E-06
   0.595653E+03   0.683648E-06
   0.607687E+03   0.644741E-06
   0.619962E+03   0.608092E-06
   0.632487E+03   0.573570E-06
   0.645264E+03   0.541057E-06
   0.658299E+03   0.510442E-06
   0.671597E+03   0.481619E-06
   0.685165E+03   0.454489E-06
   0.699006E+03   0.428955E-06
   0.713127E+03   0.404914E-06
   0.727533E+03   0.382263E-06
   0.742230E+03   0.360908E-06
   0.757224E+03   0.340761E-06
