#           k/h    P           
   0.121197E+00   0.879453E+00
   0.123645E+00   0.821727E+00
   0.126143E+00   0.767361E+00
   0.128691E+00   0.717152E+00
   0.131291E+00   0.671710E+00
   0.133943E+00   0.631435E+00
   0.136649E+00   0.596582E+00
   0.139409E+00   0.567177E+00
   0.142226E+00   0.542847E+00
   0.145099E+00   0.523234E+00
   0.148030E+00   0.508069E+00
   0.151020E+00   0.497171E+00
   0.154071E+00   0.490199E+00
   0.157184E+00   0.486194E+00
   0.160359E+00   0.484161E+00
   0.163598E+00   0.483155E+00
   0.166903E+00   0.482249E+00
   0.170275E+00   0.480529E+00
   0.173715E+00   0.477101E+00
   0.177224E+00   0.471111E+00
   0.180804E+00   0.461785E+00
   0.184457E+00   0.448476E+00
   0.188183E+00   0.430981E+00
   0.191985E+00   0.409984E+00
   0.195863E+00   0.386341E+00
   0.199820E+00   0.360888E+00
   0.203856E+00   0.334409E+00
   0.207974E+00   0.307873E+00
   0.212176E+00   0.282781E+00
   0.216462E+00   0.260319E+00
   0.220835E+00   0.241286E+00
   0.225296E+00   0.226213E+00
   0.229847E+00   0.215182E+00
   0.234490E+00   0.207426E+00
   0.239227E+00   0.202215E+00
   0.244060E+00   0.198968E+00
   0.248990E+00   0.197198E+00
   0.254020E+00   0.196332E+00
   0.259152E+00   0.195423E+00
   0.264387E+00   0.193478E+00
   0.269728E+00   0.189554E+00
   0.275177E+00   0.182831E+00
   0.280736E+00   0.173158E+00
   0.286407E+00   0.161775E+00
   0.292193E+00   0.149975E+00
   0.298096E+00   0.138779E+00
   0.304118E+00   0.128941E+00
   0.310261E+00   0.120837E+00
   0.316529E+00   0.114308E+00
   0.322923E+00   0.109154E+00
   0.329447E+00   0.105225E+00
   0.336102E+00   0.102407E+00
   0.342892E+00   0.100498E+00
   0.349819E+00   0.989705E-01
   0.356885E+00   0.972757E-01
   0.364095E+00   0.949026E-01
   0.371450E+00   0.914019E-01
   0.378954E+00   0.866772E-01
   0.386609E+00   0.813918E-01
   0.394419E+00   0.762216E-01
   0.402387E+00   0.716957E-01
   0.410516E+00   0.682212E-01
   0.418809E+00   0.659398E-01
   0.427269E+00   0.644469E-01
   0.435901E+00   0.633040E-01
   0.444706E+00   0.621133E-01
   0.453690E+00   0.605079E-01
   0.462855E+00   0.583042E-01
   0.472206E+00   0.557473E-01
   0.481745E+00   0.531249E-01
   0.491477E+00   0.506798E-01
   0.501405E+00   0.486125E-01
   0.511534E+00   0.470141E-01
   0.521868E+00   0.457499E-01
   0.532411E+00   0.446655E-01
   0.543166E+00   0.436230E-01
   0.554139E+00   0.424973E-01
   0.565333E+00   0.412194E-01
   0.576753E+00   0.398499E-01
   0.588404E+00   0.384649E-01
   0.600291E+00   0.371313E-01
   0.612418E+00   0.359071E-01
   0.624789E+00   0.348226E-01
   0.637411E+00   0.338489E-01
   0.650288E+00   0.329507E-01
   0.663424E+00   0.320961E-01
   0.676826E+00   0.312566E-01
   0.690499E+00   0.304143E-01
   0.704448E+00   0.295751E-01
   0.718679E+00   0.287484E-01
   0.733197E+00   0.279424E-01
   0.748009E+00   0.271645E-01
   0.763119E+00   0.264188E-01
   0.778536E+00   0.257024E-01
   0.794263E+00   0.250115E-01
   0.810308E+00   0.243425E-01
   0.826677E+00   0.236923E-01
   0.843378E+00   0.230587E-01
   0.860415E+00   0.224418E-01
   0.877797E+00   0.218422E-01
   0.895529E+00   0.212603E-01
   0.913620E+00   0.206963E-01
   0.932076E+00   0.201501E-01
   0.950906E+00   0.196204E-01
   0.970115E+00   0.191058E-01
   0.989713E+00   0.186049E-01
   0.100971E+01   0.181165E-01
   0.103010E+01   0.176398E-01
   0.105091E+01   0.171745E-01
   0.107214E+01   0.167207E-01
   0.109380E+01   0.162782E-01
   0.111590E+01   0.158470E-01
   0.113844E+01   0.154269E-01
   0.116144E+01   0.150171E-01
   0.118490E+01   0.146168E-01
   0.120884E+01   0.142255E-01
   0.123326E+01   0.138426E-01
   0.125817E+01   0.134677E-01
   0.128359E+01   0.131016E-01
   0.130952E+01   0.127451E-01
   0.133597E+01   0.123988E-01
   0.136296E+01   0.120633E-01
   0.139049E+01   0.117387E-01
   0.141858E+01   0.114238E-01
   0.144724E+01   0.111173E-01
   0.147648E+01   0.108181E-01
   0.150630E+01   0.105250E-01
   0.153673E+01   0.102375E-01
   0.156778E+01   0.995593E-02
   0.159945E+01   0.968076E-02
   0.163176E+01   0.941242E-02
   0.166472E+01   0.915128E-02
   0.169835E+01   0.889750E-02
   0.173266E+01   0.865080E-02
   0.176766E+01   0.841085E-02
   0.180337E+01   0.817734E-02
   0.183980E+01   0.794997E-02
   0.187697E+01   0.772854E-02
   0.191489E+01   0.751302E-02
   0.195357E+01   0.730341E-02
   0.199304E+01   0.709970E-02
   0.203330E+01   0.690187E-02
   0.207437E+01   0.670978E-02
   0.211628E+01   0.652301E-02
   0.215903E+01   0.634113E-02
   0.220265E+01   0.616373E-02
   0.224714E+01   0.599044E-02
   0.229254E+01   0.582109E-02
   0.233885E+01   0.565589E-02
   0.238610E+01   0.549509E-02
   0.243430E+01   0.533892E-02
   0.248348E+01   0.518757E-02
   0.253365E+01   0.504107E-02
   0.258483E+01   0.489907E-02
   0.263705E+01   0.476121E-02
   0.269032E+01   0.462715E-02
   0.274466E+01   0.449657E-02
   0.280011E+01   0.436927E-02
   0.285668E+01   0.424528E-02
   0.291439E+01   0.412466E-02
   0.297326E+01   0.400746E-02
   0.303332E+01   0.389371E-02
   0.309460E+01   0.378339E-02
   0.315712E+01   0.367637E-02
   0.322090E+01   0.357248E-02
   0.328596E+01   0.347158E-02
   0.335234E+01   0.337353E-02
   0.342006E+01   0.327823E-02
   0.348916E+01   0.318562E-02
   0.355964E+01   0.309564E-02
   0.363155E+01   0.300825E-02
   0.370491E+01   0.292339E-02
   0.377976E+01   0.284101E-02
   0.385611E+01   0.276107E-02
   0.393401E+01   0.268351E-02
   0.401348E+01   0.260828E-02
   0.409456E+01   0.253535E-02
   0.417727E+01   0.246461E-02
   0.426166E+01   0.239593E-02
   0.434775E+01   0.232914E-02
   0.443558E+01   0.226410E-02
   0.452519E+01   0.220068E-02
   0.461660E+01   0.213879E-02
   0.470987E+01   0.207846E-02
   0.480501E+01   0.201973E-02
   0.490208E+01   0.196264E-02
   0.500111E+01   0.190721E-02
   0.510214E+01   0.185347E-02
   0.520521E+01   0.180146E-02
   0.531036E+01   0.175123E-02
   0.541763E+01   0.170281E-02
   0.552708E+01   0.165622E-02
   0.563873E+01   0.161142E-02
   0.575264E+01   0.156822E-02
   0.586885E+01   0.152641E-02
   0.598741E+01   0.148581E-02
   0.610836E+01   0.144625E-02
   0.623176E+01   0.140760E-02
   0.635765E+01   0.136982E-02
   0.648609E+01   0.133291E-02
   0.661711E+01   0.129684E-02
   0.675079E+01   0.126160E-02
   0.688716E+01   0.122719E-02
   0.702629E+01   0.119364E-02
   0.716823E+01   0.116096E-02
   0.731304E+01   0.112919E-02
   0.746077E+01   0.109835E-02
   0.761149E+01   0.106844E-02
   0.776525E+01   0.103947E-02
   0.792212E+01   0.101144E-02
   0.808217E+01   0.984328E-03
   0.824543E+01   0.958136E-03
   0.841200E+01   0.932827E-03
   0.858193E+01   0.908298E-03
   0.875530E+01   0.884443E-03
   0.893217E+01   0.861164E-03
   0.911261E+01   0.838373E-03
   0.929670E+01   0.816045E-03
   0.948451E+01   0.794305E-03
   0.967610E+01   0.773295E-03
   0.987158E+01   0.753139E-03
   0.100710E+02   0.733946E-03
   0.102744E+02   0.715721E-03
   0.104820E+02   0.698207E-03
   0.106938E+02   0.681128E-03
   0.109098E+02   0.664231E-03
   0.111302E+02   0.647287E-03
   0.113550E+02   0.630202E-03
   0.115844E+02   0.613205E-03
   0.118184E+02   0.596554E-03
   0.120572E+02   0.580480E-03
   0.123007E+02   0.565192E-03
   0.125492E+02   0.550784E-03
   0.128027E+02   0.537098E-03
   0.130614E+02   0.523947E-03
   0.133252E+02   0.511159E-03
   0.135944E+02   0.498580E-03
   0.138691E+02   0.486112E-03
   0.141492E+02   0.473796E-03
   0.144351E+02   0.461688E-03
   0.147267E+02   0.449840E-03
   0.150242E+02   0.438299E-03
   0.153277E+02   0.427096E-03
   0.156373E+02   0.416236E-03
   0.159532E+02   0.405717E-03
   0.162755E+02   0.395539E-03
   0.166043E+02   0.385697E-03
   0.169397E+02   0.376185E-03
   0.172819E+02   0.366979E-03
   0.176310E+02   0.358057E-03
   0.179872E+02   0.349397E-03
   0.183505E+02   0.340977E-03
   0.187212E+02   0.332780E-03
   0.190994E+02   0.324783E-03
   0.194853E+02   0.316969E-03
   0.198789E+02   0.309317E-03
   0.202805E+02   0.301813E-03
   0.206902E+02   0.294446E-03
   0.211081E+02   0.287216E-03
   0.215346E+02   0.280127E-03
   0.219696E+02   0.273183E-03
   0.224134E+02   0.266386E-03
   0.228662E+02   0.259747E-03
   0.233281E+02   0.253308E-03
   0.237994E+02   0.247108E-03
   0.242802E+02   0.241183E-03
   0.247707E+02   0.235566E-03
   0.252710E+02   0.230238E-03
   0.257816E+02   0.225045E-03
   0.263024E+02   0.219824E-03
   0.268337E+02   0.214424E-03
   0.273758E+02   0.208714E-03
   0.279288E+02   0.202689E-03
   0.284930E+02   0.196665E-03
   0.290686E+02   0.190978E-03
   0.296558E+02   0.185924E-03
   0.302549E+02   0.181772E-03
   0.308661E+02   0.178612E-03
   0.314897E+02   0.176093E-03
   0.321258E+02   0.173810E-03
   0.327748E+02   0.171380E-03
   0.334369E+02   0.168443E-03
   0.341123E+02   0.164789E-03
   0.348014E+02   0.160572E-03
   0.355045E+02   0.156003E-03
   0.362217E+02   0.151277E-03
   0.369535E+02   0.146568E-03
   0.377000E+02   0.142025E-03
   0.384616E+02   0.137756E-03
   0.392386E+02   0.133854E-03
   0.400312E+02   0.130400E-03
   0.408399E+02   0.127468E-03
   0.416649E+02   0.125056E-03
   0.425066E+02   0.122962E-03
   0.433653E+02   0.120963E-03
   0.442413E+02   0.118850E-03
   0.451350E+02   0.116433E-03
   0.460469E+02   0.113623E-03
   0.469770E+02   0.110600E-03
   0.479261E+02   0.107570E-03
   0.488942E+02   0.104721E-03
